gene	p_ebm	n_pep	abun	l2fc	color
Fam102b	7.58622365351421e-5	2	295.44147574	1.2477525410417214	#CCCCFF
Fam104a	0.6983274666532955	1	29.7034772879	-0.032767990019151615	#C9C9C9
Fam107b	0.0017906939666649034	4	665.5900914978	-0.36979020195572343	#FFCCCC
Fam110a	4.938372218321225e-5	1	88.2459069595	-1.522735901967157	#FFCCCC
Fam111a	0.03900128530267167	5	512.4276669653	0.1577420926021971	#CCCCFF
Fam114a1	0.21163791111015207	3	375.7373999732	-0.1831886599866496	#C9C9C9
Fam114a2	7.268203173611189e-8	5	373.0504954883	-0.893803304075391	#BB1111
Fam117b	1.3808204182091357e-7	4	236.3591497181	-1.2245398442507753	#BB1111
Fam118a	0.21063965638144028	1	506.8914671179	0.11445100897369195	#C9C9C9
Fam118b	1.9605966264142374e-6	2	136.72808989889998	-0.9946346185506246	#BB1111
FAM120A	0.04683807099614779	6	1316.3957836078	-0.13690218582082186	#FFCCCC
Fam120b	0.13919172551711256	3	339.4100999117	-0.08543826504956932	#C9C9C9
Fam120c	0.27094209238940564	5	270.4104964104	-0.08108550053588148	#C9C9C9
Fam126a	0.001370292953090815	3	364.1808351844	0.22999743834976735	#CCCCFF
Fam126b	0.07434602590890499	1	69.4131645263	0.19820096077618418	#C9C9C9
Fam131b	0.7305452675610055	3	222.370499595	0.03700364673256755	#C9C9C9
Fam133b	0.045638610352074845	3	128.50281221630001	-0.25812064255378236	#FFCCCC
Fam135a	7.889225470965136e-6	4	222.0704990889	-0.8188278966047198	#FFCCCC
Fam136a	0.02190827670658214	6	647.462211275	-0.2151510243986845	#FFCCCC
Fam13b	1.749126669980577e-4	2	150.4553749863	-0.6098394273684415	#FFCCCC
Fam13c	0.005784867211230589	4	149.5198822464	-0.2638336079303568	#FFCCCC
Fam160a2	1.3572217232723778e-5	2	101.6805201863	-0.7825527986373055	#FFCCCC
Fam160b1	4.8560043027410415e-4	5	326.17038518280003	-0.7177726007206855	#FFCCCC
Fam162a	0.017143812497233415	5	531.3133264986	0.3119419299185449	#CCCCFF
Fam169a	0.7938416017549383	5	496.0455258554	0.012372325171250271	#C9C9C9
Fam171a1	0.001501619245208481	2	276.371171672	0.2835882099602578	#CCCCFF
Fam171a2	2.542403614431576e-6	6	386.6296098051	0.5994999390469454	#1111BB
Fam171b	0.044467718098162065	4	240.9537434849	0.20284835334423973	#CCCCFF
Fam172a	0.003347137063651167	5	668.1524926666	0.2931004928819306	#CCCCFF
Fam177a1	0.0034019205703880824	5	605.2786376516	0.17572932632012706	#CCCCFF
Fam185a	1.4975110029682358e-4	6	724.1351817835	0.41423045476197373	#CCCCFF
Fam193a	7.882034567884155e-4	9	853.2178021086	-0.23040291287935666	#FFCCCC
Fam193b	0.19786519568833583	3	406.2966352057	-0.11671606272913311	#C9C9C9
Fam204a	0.046339703915723306	5	656.3743360622	-0.11114019852099578	#FFCCCC
Fam207a	0.004474097471729031	6	422.0458726808	0.20503171199551135	#CCCCFF
Fam20b	4.821512556308238e-9	6	412.8209994353	-1.8857613403650928	#BB1111
Fam210a	5.641325485497129e-4	6	771.3457694894	0.3933562787494529	#CCCCFF
Fam210b	3.8740056309981145e-4	1	39.7708073063	0.5875323317635733	#CCCCFF
Fam216a	1.2591178930974446e-5	6	461.9017502972	-0.5344336544959257	#FFCCCC
Fam219a	1.9575531061559835e-5	3	158.1314640418	-0.6110659813502366	#FFCCCC
Fam219b	0.11939274199886744	2	295.9575623398	0.06751920790413339	#C9C9C9
Fam222b	2.764438523795412e-5	4	168.0299166419	-1.0335029737014254	#FFCCCC
Fam234a	5.610561573657778e-4	6	529.5337247788	0.32291935469742505	#CCCCFF
Fam234b	1.6927407056143136e-4	5	674.4529231302	0.4508801338658176	#CCCCFF
Fam241a	0.005167732569732042	1	96.2881864257	0.38940249543376104	#CCCCFF
Fam32a	0.06781946225080798	5	365.6206926688	0.1493756998948987	#C9C9C9
Fam3a	2.139315549594347e-8	5	616.2081483003	-1.74730859841867	#BB1111
Fam3c	3.953167815367218e-7	4	314.0567149339	-1.3144711408583567	#BB1111
Fam50a	2.1046066748040604e-6	5	791.2732003626	-0.8876919994120217	#BB1111
Fam76a	3.792797286624948e-4	6	786.3363815003	0.07572245543370218	#CCCCFF
Fam76b	0.001890347264369025	6	718.923413835	0.29820674110224166	#CCCCFF
Fam83d	0.0018251316718641522	5	386.4276002857	-0.41682685602877556	#FFCCCC
Fam89b	3.623228936971828e-6	2	79.6108613583	-0.8973464882756873	#BB1111
Fam8a1	1.7302603813592978e-4	4	327.2084029664	0.40937714663809655	#CCCCFF
Fam91a1	0.33491209685656503	5	661.0171012109	-0.12362447629076133	#C9C9C9
Fam92a	0.07516379367154448	1	99.0012867962	-0.20547450185305058	#C9C9C9
Fam98a	0.2251663419678694	4	139.8252717939	-0.11279661641265018	#C9C9C9
Fam98b	0.6371660494096558	4	344.4371633957	-0.10824267027113156	#C9C9C9
Fam98c	5.528853917160874e-6	5	318.7491619703	-0.8491998517302074	#BB1111
Fan1	0.08993660798252674	2	77.9942659182	-0.24701192398612465	#C9C9C9
Fanca	0.010592197487060596	3	223.1738963679	-0.18171641904412333	#FFCCCC
Fancb	0.8082138059744128	3	201.7242955955	0.0056167394031798445	#C9C9C9
Fancd2	0.0169742923660148	3	186.2665003118	-0.2920279375487832	#FFCCCC
Fancf	0.010515588458858279	1	54.5243314306	-0.7194685026683473	#FFCCCC
Fancg	0.03608332752594311	2	199.8589477977	-0.17623310967572295	#FFCCCC
Fanci	0.00037467516053156015	6	538.6326720688	-0.29585852923636563	#FFCCCC
Fancl	0.7898787468324308	2	163.7714569538	-0.005153965370563342	#C9C9C9
Fancm	8.631654406591058e-4	4	317.4305085812	0.0689528316460895	#CCCCFF
Far1	6.147902396051438e-6	4	740.200231262	0.4805270697178492	#CCCCFF
Farp1	0.02978768900380039	7	883.3478324163	0.07460777841577299	#CCCCFF
Farp2	0.014797884542975363	5	993.6404695074	-0.23619557183913234	#FFCCCC
Fars2	0.0026915783430874877	3	297.5632005186	0.42407512531061065	#CCCCFF
Farsa	1.3518447165235551e-5	6	1074.0978117099	-0.6271621958357567	#FFCCCC
Farsb	3.1411303335492224e-5	5	595.1563839288	-0.7207340994567211	#FFCCCC
Fasn	2.4153802077342186e-7	3	317.7090283343	-1.112108086312753	#BB1111
Fastkd1	0.004103825743658514	2	79.61417696609999	0.43102295443052974	#CCCCFF
Fastkd2	0.00118885824783704	3	533.049182536	0.3992260939647303	#CCCCFF
Fastkd3	0.0015810783288847693	2	81.9094193878	0.3030259612582042	#CCCCFF
Fastkd5	9.152623850768906e-4	3	511.7101779939	0.29737861713376257	#CCCCFF
Fat1	0.17249504593282292	7	1113.8567108351	0.1195198103834165	#C9C9C9
Fau	3.3279519599657887e-4	5	764.9194573794999	-0.32280100024106406	#FFCCCC
Fbh1	2.537072562080842e-7	5	612.137151599	-0.9875923242074494	#BB1111
Fbl	2.3986564792519445e-4	5	1109.7434176007	0.4222726501280478	#CCCCFF
Fbll1	0.0022897954622403864	4	230.2412159888	0.3360040490738172	#CCCCFF
Fbln1	0.14421586606342313	8	827.8774416438	0.10148553057701218	#C9C9C9
Fbln2	3.640766836510461e-10	5	426.2895350242	1.0089735423550446	#1111BB
Fbn1	6.34062042836798e-5	1	40.429307082	0.8082516913884783	#CCCCFF
Fbrs	0.06516118309728962	5	190.3181489058	0.258473407820245	#C9C9C9
Fbrsl1	0.059289219105620045	1	69.1359458012	0.3329965792218919	#C9C9C9
Fbxl14	0.27661825851912897	2	74.32978014049999	-0.10999536999155829	#C9C9C9
Fbxl15	2.1387282111731714e-7	6	461.9538889852	-1.0504453818744457	#BB1111
Fbxl16	2.5455138999477018e-5	2	119.9077743398	-0.8923865739058809	#FFCCCC
Fbxl17	1.899341513953784e-5	1	152.3813719254	-0.6188761063596925	#FFCCCC
Fbxl18	7.215280022477108e-10	3	593.0192837843	-1.2935801926137709	#BB1111
Fbxl19	0.23095433230007326	5	175.8788741841	-0.23200657846106978	#C9C9C9
Fbxl2	0.37600603637928104	1	89.0822538817	0.15954187625427782	#C9C9C9
Fbxl20	2.5319619821603806e-4	2	182.8920706394	0.4262760458923474	#CCCCFF
Fbxl3	0.012754798797053388	2	62.0417265399	-0.2770841413506574	#FFCCCC
Fbxl4	0.14290111698822114	3	134.6796388601	0.17111404380607892	#C9C9C9
Fbxl6	0.3018170269491446	2	206.08700218319998	0.05331376083988307	#C9C9C9
Fbxl7	0.0017223657555183577	3	141.8340727296	-0.44197203053566436	#FFCCCC
Fbxl8	6.522757470112763e-7	6	421.60120337399997	-0.9427969760695383	#BB1111
Fbxo10	5.06570461772295e-5	4	134.76669904509998	-0.652399186787397	#FFCCCC
Fbxo11	5.233933414987828e-4	7	667.1077602343	0.31350715998615497	#CCCCFF
Fbxo17	0.1695679900792361	1	29.5071676946	0.1765123586769231	#C9C9C9
Fbxo2	0.2343733005435594	4	149.2453962001	0.18972912515222728	#C9C9C9
Fbxo21	1.726148206957768e-5	6	530.0283945388	-0.7137491804170749	#FFCCCC
Fbxo22	5.127457975441062e-7	4	326.6268235461	-1.1898924243008366	#BB1111
Fbxo25	3.5430155665866454e-7	6	382.1221140311	-0.6931743158677691	#BB1111
Fbxo28	0.024145755639199937	6	424.24328991109996	0.2446510596254047	#CCCCFF
Fbxo3	6.584231849133019e-6	7	699.9995215696	-0.8999446734811987	#FFCCCC
Fbxo30	1.5806710018066511e-7	4	574.7578616016	-1.3754616272149123	#BB1111
Fbxo31	6.579217740679169e-4	1	50.306476293	-0.9768848765888992	#FFCCCC
Fbxo33	0.0011195153520699946	2	103.21316868299999	-0.5463266699321461	#FFCCCC
Fbxo38	7.121358619082667e-4	6	429.7200547389	0.30988063637832436	#CCCCFF
Fbxo4	4.183966367425321e-7	3	130.8390651985	-0.9961938574996678	#BB1111
Fbxo42	6.746164611629857e-6	5	256.7691789085	-1.1760234393652196	#FFCCCC
Fbxo45	3.089152545533487e-5	3	250.73189628170002	-0.7244472612523903	#FFCCCC
Fbxo46	0.03000867642841897	1	35.002321763	-0.38124317361384247	#FFCCCC
Fbxo5	3.31446198313109e-5	7	714.1086016790999	-0.8105243950203873	#FFCCCC
Fbxo6	0.008787442460867339	3	139.3380012464	-0.4439880502272748	#FFCCCC
Fbxo7	4.530787164417979e-9	7	531.2761158894	-1.3884069505518444	#BB1111
Fbxo9	2.4086233133609927e-7	3	168.8837560372	-0.958525682131299	#BB1111
Fbxw10	0.03557416612976578	1	91.0837997229	0.4649556963642752	#CCCCFF
Fbxw11	0.0036649074285458653	7	328.2416591829	-0.2276998215032129	#FFCCCC
Fbxw4	0.004962433900613839	1	85.0540263071	-0.3629923157937989	#FFCCCC
Fbxw7	0.4135912120118473	2	251.7576623532	0.11165893405218717	#C9C9C9
Fbxw8	3.384172402584801e-5	5	427.2007797975	-0.6344794751984317	#FFCCCC
Fbxw9	7.87406843534462e-7	2	162.453711381	-1.0062031861537246	#BB1111
Fcf1	0.006560787121378033	3	230.5981489666	0.30294170018936184	#CCCCFF
Fcho1	2.2256794814173704e-4	4	172.73583773800001	-0.3923484493511262	#FFCCCC
Fcho2	0.01926927480916709	4	184.9454996491	-0.20112002853788086	#FFCCCC
Fchsd1	1.870613470101505e-4	3	136.9428912147	-0.6715246275381409	#FFCCCC
Fchsd2	1.2370851174438446e-5	5	145.9785136305	-0.8500237399673335	#FFCCCC
Fcsk	5.2839399877731505e-8	4	497.3392372033	-0.985406991240181	#BB1111
Fdft1	3.38892836449705e-6	6	469.7431910369	-0.604184098739175	#BB1111
Fdps	2.0236261574917762e-6	6	736.1981217995	-1.241002866651279	#BB1111
Fdx1	4.729334490834161e-4	3	322.1031883338	0.35339672459729515	#CCCCFF
Fdx2	0.035585530699398696	2	129.8520484636	0.2648075985858083	#CCCCFF
Fdxr	6.922277709509661e-4	7	618.4961459361	0.4323779638880668	#CCCCFF
Fech	0.0019625731556806355	6	614.2531902248	0.4494653704959309	#CCCCFF
Fem1aa	6.1038300201708745e-6	1	50.2707628198	-1.1683509668323533	#FFCCCC
Fem1b	3.2586588543259385e-5	3	230.97761086379998	-0.6717788450329953	#FFCCCC
Fem1c	3.3723280969352895e-5	3	104.6081544555	-0.7628864820045453	#FFCCCC
Fen1	5.557480701296735e-6	7	402.4533429319	-0.6908064016964172	#BB1111
Fer	1.0566883272055128e-9	5	347.9601262956	-1.1337949172005557	#BB1111
Fermt2	1.2976462429400203e-6	4	559.5486729865	-1.0727517551404002	#BB1111
Fes	0.08924377803950949	1	50.7111742267	-0.45119704759353557	#C9C9C9
Fetub	1.4839126746457699e-4	1	51.1968735796	0.9037688677476665	#CCCCFF
Fez2	0.0012760403569166523	2	70.3045087088	-0.5843162650615309	#FFCCCC
Fgd1	1.1401804369345932e-4	5	369.824889168	-0.4404900099650285	#FFCCCC
Fgd6	0.8179838777137746	4	385.3112744511	-0.0017869475549394161	#C9C9C9
Fgf15	0.06721866496294328	1	132.3508777802	0.1282900206157257	#C9C9C9
Fgfr1	2.3108522137313562e-5	5	675.2737276729	0.43804141564367066	#CCCCFF
Fgfr1op2	0.6140721569704224	3	154.7704322684	-0.03728265769577073	#C9C9C9
Fggy	3.981074776744607e-7	5	365.6490063899	-0.9768093733095724	#BB1111
Fh	0.01158236639207596	5	784.9641378000999	0.18455661510091884	#CCCCFF
Fhit	0.02867521299831578	3	192.1962153078	-0.2051703221448084	#FFCCCC
Fhl3	0.011344663446491685	5	268.000609882	-0.41717467684891624	#FFCCCC
Fhod1	2.7670747309423785e-8	4	343.2455190543	-0.9855823414938353	#BB1111
Fibp	0.06584552536917143	3	208.888027976	0.156699109502305	#C9C9C9
Fig4	1.6623233783612117e-6	3	230.73168472280003	-0.8240840260263979	#BB1111
Fign	7.388834251361892e-4	1	59.9489170964	-0.9868005224070966	#FFCCCC
