acc	gene	location	topology	both
A2A6H3	Fbxo47			
Q9DC63	Fbxo3	Nucleus		Nucleus
Q9CPU7	Fbxo32	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8CAT8	Fbxo48			
Q6DIA9	Fbxo27			
Q9QZN0	Fbxo15			
Q8VE08	Fbxo33			
P62932	Fbxo40	Cytoplasm		Cytoplasm
Q9WVH9	Fbln5	Extracellular matrix,Extracellular space,Secreted		Extracellular matrix,Extracellular space,Secreted
Q3ULA2	Btrc	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9QZM9	Fbxo16			
Q5BJ29	Fbxl7	Microtubule organizing center,Cytoskeleton,Centrosome,Cytoplasm		Microtubule organizing center,Cytoskeleton,Centrosome,Cytoplasm
Q9QZM8	Fbxo17			
Q3U7U3	Fbxo7	Cytosol,Mitochondrion,Nucleus,Cytoplasm		Cytosol,Mitochondrion,Nucleus,Cytoplasm
Q8CHQ0	Fbxo4	Cytoplasm		Cytoplasm
Q8BIG4	Fbxo28	Centromere,Chromosome,Kinetochore		Centromere,Chromosome,Kinetochore
Q8BH16	Fbxl2	Membrane	Lipid-anchor	Lipid-anchor,Membrane
Q80XI1	Fbxo34			
Q6NS60	Fbxo41			
Q61554	Fbn1	Extracellular matrix,Extracellular space,Secreted		Extracellular matrix,Extracellular space,Secreted
Q8CIG9	Fbxl8			
Q5SRY7	Fbxw11	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9CQ24	Fbxo36			
Q8VDH1	Fbxo21			
G3X9C2	Nccrp1	Cytoplasm		Cytoplasm
Q6PDJ6	Fbxo42			
Q9QZN3	Fbxo8			
Q80UW2	Fbxo2	Microsome membrane,Cytoplasm	Peripheral membrane protein	Microsome membrane,Cytoplasm,Peripheral membrane protein
Q8C4V4	Fbxl3	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q60584	Fbxw2			
Q8CDI2	Fbxo43			
Q8BJL1	Fbxo30			
Q8BMI0	Fbxo38	Cytosol,Nucleus,Cytoplasm		Cytosol,Nucleus,Cytoplasm
Q78JE5	Fbxo22	Sarcomere,Z line,Cytoplasm,Myofibril		Sarcomere,Z line,Cytoplasm,Myofibril
Q8BH70	Fbxl4	Mitochondrion,Nucleus,Cytoplasm		Mitochondrion,Nucleus,Cytoplasm
Q8BK06	Fbxo9	Cytoplasm		Cytoplasm
Q5NBU5	Fbxo39			
Q9JMJ2	Fbxw4			
Q7TQF2	Fbxo10	Cytoplasm		Cytoplasm
Q8BIA4	Fbxw8	Golgi apparatus,Cytoplasm,Perinuclear region		Golgi apparatus,Cytoplasm,Perinuclear region
Q3TQF0	Fbxo31			
Q8BK26	Fbxo44			
Q61555	Fbn2	Extracellular matrix,Extracellular space,Secreted		Extracellular matrix,Extracellular space,Secreted
Q7TSG3	Fbxo5	Cytoskeleton,Nucleus,Cytoplasm,Spindle		Cytoskeleton,Nucleus,Cytoplasm,Spindle
P20490	Ms4a2	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q8C2S5	Fbxl5	Cytoplasm,Perinuclear region		Cytoplasm,Perinuclear region
Q8BG80	Fbxo46			
Q9QXW2	Fbxw5	Cytoplasm		Cytoplasm
Q7TPD1	Fbxo11	Nucleus,Chromosome		Nucleus,Chromosome
Q9DAK4	Fabp12			
Q9QXW0	Fbxl6			
Q2TB54	Fcamr	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q9QZN4	Fbxo6	Cytoplasm		Cytoplasm
P20491	Fcer1g	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
P0DJI6	Fcor	Cytosol,Nucleus,Cytoplasm		Cytosol,Nucleus,Cytoplasm
Q8K012	Fnbp1l	Cytoplasm,Cell cortex,Cytoskeleton,Cytoplasmic vesicle,Cell membrane	Peripheral membrane protein	Cytoplasm,Cell cortex,Cytoskeleton,Cytoplasmic vesicle,Cell membrane,Peripheral membrane protein
