acc	gene	location	topology	both
P68510	Ywhah	Cytoplasm		Cytoplasm
P62259	Ywhae	Melanosome,Nucleus,Cytoplasm		Melanosome,Nucleus,Cytoplasm
P63101	Ywhaz	Melanosome,Cytoplasm		Melanosome,Cytoplasm
Q9CQV8	Ywhab	Melanosome,Cytoplasm		Melanosome,Cytoplasm
P61982	Ywhag	Cytoplasm		Cytoplasm
A2AIG8	Accs			
Q3UX83	Accsl			
Q61151	Ppp2r5e	Cytoplasm		Cytoplasm
Q6P1F6	Ppp2r2a			
Q6PD03	Ppp2r5a	Centromere,Nucleus,Cytoplasm,Chromosome		Centromere,Nucleus,Cytoplasm,Chromosome
Q6PD28	Ppp2r5b	Cytoplasm		Cytoplasm
O70456	Sfn	Secreted,Nucleus,Cytoplasm		Secreted,Nucleus,Cytoplasm
Q925E7	Ppp2r2d	Cytoplasm		Cytoplasm
Q60996	Ppp2r5c	Centromere,Nucleus,Chromosome		Centromere,Nucleus,Chromosome
Q7TNP2	Ppp2r1b			
Q8BG02	Ppp2r2c			
P68254	Ywhaq	Cytoplasm		Cytoplasm
Q6ZWR4	Ppp2r2b	Mitochondrion,Cytoplasm,Cytoskeleton,Mitochondrion outer membrane,Membrane		Mitochondrion,Cytoplasm,Cytoskeleton,Mitochondrion outer membrane,Membrane
O35469	Hsd3b6	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q06649	Sh3bp2			
Q99LH9	Sh3bp5l			
Q9EQC1	Hsd3b7	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
P24815	Hsd3b1	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q9Z131	Sh3bp5	Mitochondrion,Cytoplasmic vesicle membrane	Peripheral membrane protein	Mitochondrion,Cytoplasmic vesicle membrane,Peripheral membrane protein
Q76MZ3	Ppp2r1a	Cell projection,Cytoplasm,Lateral cell membrane,Centromere,Nucleus,Chromosome,Dendrite		Cell projection,Cytoplasm,Lateral cell membrane,Centromere,Nucleus,Chromosome,Dendrite
Q78JT3	Haao	Cytosol,Cytoplasm		Cytosol,Cytoplasm
P26149	Hsd3b2	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
P26150	Hsd3b3	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q61767	Hsd3b4	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
P55194	Sh3bp1	Tight junction,Cell projection,Cytoplasm,Adherens junction,Cytosol,Nucleus,Cell junction,Phagocytic cup		Tight junction,Cell projection,Cytoplasm,Adherens junction,Cytosol,Nucleus,Cell junction,Phagocytic cup
Q61694	Hsd3b5	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q99L13	Hibadh	Mitochondrion		Mitochondrion
Q04841	Mpg	Mitochondrion matrix,Mitochondrion nucleoid,Nucleus,Cytoplasm		Mitochondrion matrix,Mitochondrion nucleoid,Nucleus,Cytoplasm
Q80VV3	Eif4ebp3			
Q9EST3	Eif4enif1	Nucleus,Cytoplasm,PML body,Nucleus speckle		Nucleus,Cytoplasm,PML body,Nucleus speckle
Q60876	Eif4ebp1			
P35363	Htr2a	Cell projection,Presynapse,Axon,Synapse,Cytoplasmic vesicle,Cell membrane,Caveola,Cell junction,Dendrite,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell projection,Presynapse,Axon,Synapse,Cytoplasmic vesicle,Cell membrane,Caveola,Cell junction,Dendrite,Membrane
P10852	Slc3a2	Melanosome,Apical cell membrane,Cell junction,Cell membrane,Lysosome membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Melanosome,Apical cell membrane,Cell junction,Cell membrane,Lysosome membrane
Q9JHJ5	Htr3b	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P70445	Eif4ebp2			
Q02284	Htr1f	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q91VK1	Bzw2	Cytoplasm		Cytoplasm
P32304	Htr7	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P28334	Htr1b	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9D020	Nt5c3a	Cytoplasm		Cytoplasm
Q64264	Htr1a	Dendrite,Cell projection,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Dendrite,Cell projection,Cell membrane
Q9CQC6	Bzw1			
P97288	Htr4	Endosome,Cell membrane	Multi-pass membrane protein	Endosome,Multi-pass membrane protein,Cell membrane
Q61503	Nt5e	Cell membrane	Lipid-anchor,GPI-anchor	GPI-anchor,Lipid-anchor,Cell membrane
Q02152	Htr2b	Synapse,Cell junction,Cell membrane,Synaptosome	Multi-pass membrane protein	Multi-pass membrane protein,Synapse,Cell junction,Cell membrane,Synaptosome
Q3UFY7	Nt5c3b	Cytoplasm		Cytoplasm
A3KFX0	Nt5c1a	Cytoplasm		Cytoplasm
Q61224	Htr1d	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P30966	Htr5a	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q91YE9	Nt5c1b	Cytoplasm		Cytoplasm
P31387	Htr5b	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9R1C8	Htr6	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P34968	Htr2c	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q3V1L4	Nt5c2	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q9CQ60	Pgls	Cytoplasm		Cytoplasm
Q9DCD0	Pgd	Cytoplasm		Cytoplasm
P23979	Htr3a	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
Q3UKZ7	Arl14epl			
P07758	Serpina1a	Secreted		Secreted
P12961	Scg5	Secreted		Secreted
P22599	Serpina1b	Secreted		Secreted
Q00896	Serpina1c	Secreted		Secreted
Q00897	Serpina1d	Secreted		Secreted
Q00898	Serpina1e	Secreted		Secreted
Q571I9	Aldh16a1			
P53368	Nudt1	Cytoplasm,Secretory vesicle,Nucleus,Cytoplasmic vesicle,Acrosome,Nucleus membrane		Cytoplasm,Secretory vesicle,Nucleus,Cytoplasmic vesicle,Acrosome,Nucleus membrane
Q9DCQ7	Serpina1f	Secreted		Secreted
Q60590	Orm1	Secreted		Secreted
Q8C0J2	Atg16l1	Endosome membrane,Lysosome membrane,Cytoplasm,Preautophagosomal structure membrane	Peripheral membrane protein	Endosome membrane,Cytoplasm,Preautophagosomal structure membrane,Peripheral membrane protein,Lysosome membrane
P07361	Orm2	Secreted		Secreted
Q19LI2	A1bg	Secreted		Secreted
Q63805	Orm3	Secreted		Secreted
Q6KAU8	Atg16l2	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q5YD48	A1cf	Nucleus,Cytoplasm,Endoplasmic reticulum		Nucleus,Cytoplasm,Endoplasmic reticulum
Q61247	Serpinf2	Secreted		Secreted
Q6GQT1	A2m	Secreted		Secreted
Q14BT6	A4gnt	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q3V1N9	A3galt2	Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane
Q61618	Adora3	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q67BJ4	A4galt	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q60613	Adora2a	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q3UD01	Atxn7l3b	Cytoplasm		Cytoplasm
P63115	Slc7a10	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
P58742	Aaas	Cytoplasm,Nucleus envelope,Cytoskeleton,Nucleus,Spindle pole,Nuclear pore complex		Cytoplasm,Nucleus envelope,Cytoskeleton,Nucleus,Spindle pole,Nuclear pore complex
Q60614	Adora2b	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9D2R0	Aacs	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q60612	Adora1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q99PG0	Aadac	Microsome membrane,Endoplasmic reticulum membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Microsome membrane,Endoplasmic reticulum membrane
P51912	Slc1a5	Melanosome,Cell membrane	Multi-pass membrane protein	Melanosome,Multi-pass membrane protein,Cell membrane
Q6PAM0	Prkab2			
Q9WVM8	Aadat	Mitochondrion		Mitochondrion
Q9D2V5	Aar2			
Q8R2R3	Aagab	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q3THG9	Aarsd1	Cytoplasm		Cytoplasm
O54950	Prkag1			
P12023	App	Clathrin-coated pit,Growth cone,Cell projection,Golgi apparatus,Cytoplasm,Cell surface,Perikaryon,Secreted,Nucleus,Cytoplasmic vesicle,Trans-Golgi network,Cell membrane,Early endosome,Endoplasmic reticulum,Membrane	Single-pass type I membrane protein	Clathrin-coated pit,Single-pass type I membrane protein,Growth cone,Cell projection,Golgi apparatus,Cytoplasm,Cell surface,Perikaryon,Secreted,Nucleus,Cytoplasmic vesicle,Trans-Golgi network,Cell membrane,Early endosome,Endoplasmic reticulum,Membrane
Q8R0P4	Aamdc	Cytoplasm		Cytoplasm
Q811W1	Aard			
Q3UHJ0	Aak1	Clathrin-coated pit,Presynapse,Synapse,Cell junction,Cell membrane,Membrane	Peripheral membrane protein	Clathrin-coated pit,Presynapse,Peripheral membrane protein,Synapse,Cell junction,Cell membrane,Membrane
Q99K67	Aass	Mitochondrion		Mitochondrion
Q91WG5	Prkag2			
Q8BRK8	Prkaa2	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8BGM7	Prkag3			
Q7TSV6	Got1l1	Cytoplasm		Cytoplasm
Q9R078	Prkab1			
Q5EG47	Prkaa1	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9JKX4	Aatf	Nucleolus,Nucleus		Nucleolus,Nucleus
P05201	Got1	Cytoplasm		Cytoplasm
Q7M759	Abhd17b	Cell projection,Postsynaptic density membrane,Synapse,Cell junction,Cell membrane,Dendritic spine,Recycling endosome membrane	Lipid-anchor	Cell projection,Postsynaptic density membrane,Lipid-anchor,Synapse,Cell junction,Cell membrane,Dendritic spine,Recycling endosome membrane
P05202	Got2	Mitochondrion matrix,Cell membrane		Mitochondrion matrix,Cell membrane
Q8VCV1	Abhd17c	Cell projection,Postsynaptic density membrane,Synapse,Cell junction,Dendritic spine,Recycling endosome membrane	Lipid-anchor	Cell projection,Postsynaptic density membrane,Lipid-anchor,Synapse,Cell junction,Dendritic spine,Recycling endosome membrane
Q8R5A3	Apbb1ip	Cell projection,Cytoplasm,Cytoskeleton,Lamellipodium,Cell junction,Cell membrane,Focal adhesion	Peripheral membrane protein	Cell projection,Cytoplasm,Cytoskeleton,Peripheral membrane protein,Lamellipodium,Cell junction,Cell membrane,Focal adhesion
Q99JW1	Abhd17a	Endosome membrane,Cell projection,Postsynaptic density membrane,Synapse,Cell junction,Cell membrane,Dendritic spine	Lipid-anchor	Endosome membrane,Cell projection,Postsynaptic density membrane,Lipid-anchor,Synapse,Cell junction,Cell membrane,Dendritic spine
Q8K441	Abca6	Golgi apparatus membrane	Multi-pass membrane protein	Multi-pass membrane protein,Golgi apparatus membrane
Q61102	Abcb7	Mitochondrion inner membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion inner membrane
Q7TMS5	Abcg2	Mitochondrion membrane,Apical cell membrane,Cell membrane	Multi-pass membrane protein	Mitochondrion membrane,Apical cell membrane,Multi-pass membrane protein,Cell membrane
Q99LE6	Abcf2			
Q61285	Abcd2	Peroxisome membrane	Multi-pass membrane protein	Multi-pass membrane protein,Peroxisome membrane
P41233	Abca1	Endosome,Cell membrane	Multi-pass membrane protein	Endosome,Multi-pass membrane protein,Cell membrane
Q8K268	Abcf3			
Q91V24	Abca7	Early endosome membrane,Ruffle membrane,Cell projection,Cytoplasm,Golgi apparatus membrane,Cell membrane,Phagocytic cup	Multi-pass membrane protein	Multi-pass membrane protein,Early endosome membrane,Ruffle membrane,Cell projection,Cytoplasm,Golgi apparatus membrane,Cell membrane,Phagocytic cup
Q99P81	Abcg3	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q8K442	Abca8a	Basolateral cell membrane,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Basolateral cell membrane,Cell membrane
B5X0E4	Abcb5	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9JJ59	Abcb9	Lysosome membrane	Multi-pass membrane protein	Multi-pass membrane protein,Lysosome membrane
Q8K440	Abca8b	Basolateral cell membrane,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Basolateral cell membrane,Cell membrane
P55096	Abcd3	Peroxisome membrane	Multi-pass membrane protein	Multi-pass membrane protein,Peroxisome membrane
Q91WA9	Abcg4	Endosome membrane,Cytoplasmic vesicle membrane,Cell membrane	Multi-pass membrane protein	Endosome membrane,Cytoplasmic vesicle membrane,Multi-pass membrane protein,Cell membrane
P41234	Abca2	Endosome membrane,Lysosome membrane	Multi-pass membrane protein	Endosome membrane,Multi-pass membrane protein,Lysosome membrane
P70170	Abcc9	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q64343	Abcg1	Cell membrane,Golgi apparatus membrane,Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane,Golgi apparatus membrane,Endoplasmic reticulum membrane
Q8K449	Abca9	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q9JI39	Abcb10	Mitochondrion inner membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion inner membrane
O89016	Abcd4	Lysosome membrane,Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Lysosome membrane,Endoplasmic reticulum membrane
Q99PE8	Abcg5	Apical cell membrane,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Apical cell membrane,Cell membrane
P61222	Abce1	Mitochondrion,Cytoplasm		Mitochondrion,Cytoplasm
Q9DC29	Abcb6	Endosome membrane,Multivesicular body membrane,Early endosome membrane,Mitochondrion,Melanosome membrane,Endosome,Late endosome membrane,Secreted,Golgi apparatus membrane,Extracellular exosome,Cell membrane,Mitochondrion outer membrane,Lysosome membrane,Endoplasmic reticulum membrane	Multi-pass membrane protein	Endosome membrane,Multivesicular body membrane,Early endosome membrane,Mitochondrion,Melanosome membrane,Multi-pass membrane protein,Endosome,Late endosome membrane,Secreted,Golgi apparatus membrane,Extracellular exosome,Cell membrane,Mitochondrion outer membrane,Lysosome membrane,Endoplasmic reticulum membrane
Q8R420	Abca3	Multivesicular body membrane,Endosome,Late endosome membrane,Cytoplasmic vesicle membrane,Lysosome membrane	Multi-pass membrane protein	Multivesicular body membrane,Multi-pass membrane protein,Endosome,Late endosome membrane,Cytoplasmic vesicle membrane,Lysosome membrane
Q99LR1	Abhd12	Mitochondrion,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion,Single-pass membrane protein,Endoplasmic reticulum membrane
E9Q876	Abca12	Cytoplasmic vesicle,Secretory vesicle membrane,Golgi apparatus membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cytoplasmic vesicle,Secretory vesicle membrane,Golgi apparatus membrane
Q9DBM0	Abcg8	Apical cell membrane,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Apical cell membrane,Cell membrane
Q6P542	Abcf1	Nucleoplasm,Nucleus,Cytoplasm,Nucleus envelope		Nucleoplasm,Nucleus,Cytoplasm,Nucleus envelope
Q9QY30	Abcb11	Endosome,Apical cell membrane,Recycling endosome membrane,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endosome,Apical cell membrane,Cell membrane,Recycling endosome membrane
Q8C1A9	Abhd18	Secreted		Secreted
Q5SSE9	Abca13	Cytoplasmic vesicle membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cytoplasmic vesicle membrane
E9PX95	Abca17	Cytoplasm,Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cytoplasm,Endoplasmic reticulum membrane
P48410	Abcd1	Peroxisome membrane,Mitochondrion membrane,Lysosome membrane,Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Peroxisome membrane,Mitochondrion membrane,Lysosome membrane,Endoplasmic reticulum membrane
Q99J72	Apobec3	Cytoplasm		Cytoplasm
P51908	Apobec1	Cytoplasm		Cytoplasm
Q497M3	Apobec4			
Q8R0P8	Abhd8			
Q922Q6	Abhd14a	Cytoplasm,Membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Cytoplasm,Membrane
Q9WV35	Apobec2			
Q5F2F2	Abhd15	Secreted		Secreted
Q9QXM0	Abhd2	Secretory vesicle,Cytoplasmic vesicle,Cell membrane,Acrosome membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Secretory vesicle,Acrosome membrane,Cytoplasmic vesicle,Cell membrane
Q8VCR7	Abhd14b	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q6PE15	Abhd10	Mitochondrion		Mitochondrion
Q91ZH7	Abhd3	Membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Membrane
Q9QZC8	Abhd1	Membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Membrane
Q8K4F5	Abhd11			
Q8VD66	Abhd4			
Q9Z1Q2	Abhd16a	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q8K4G5	Ablim1	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q80UX8	Abhd13	Membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Membrane
Q8CBW3	Abi1	Growth cone,Filopodium,Cell projection,Cytoplasm,Cytoskeleton,Nucleus,Synapse,Lamellipodium,Cell junction,Postsynaptic density		Growth cone,Filopodium,Cell projection,Cytoplasm,Cytoskeleton,Nucleus,Synapse,Lamellipodium,Cell junction,Postsynaptic density
Q80ZQ9	Abitram	Growth cone,Cell projection,Nucleus,Lamellipodium,Nucleus speckle,Dendrite		Growth cone,Cell projection,Nucleus,Lamellipodium,Nucleus speckle,Dendrite
Q80YU0	Abhd16b			
O35600	Abca4	Cell projection,Membrane,Cilium,Endoplasmic reticulum,Photoreceptor outer segment	Multi-pass membrane protein	Multi-pass membrane protein,Cell projection,Membrane,Cilium,Endoplasmic reticulum,Photoreceptor outer segment
Q8BL65	Ablim2	Cytoplasm		Cytoplasm
Q3TCJ1	Abraxas2	Cytoskeleton,Nucleus,Cytoplasm,Spindle pole		Cytoskeleton,Nucleus,Cytoplasm,Spindle pole
Q9DBL9	Abhd5	Cytosol,Cytoplasm,Lipid droplet		Cytosol,Cytoplasm,Lipid droplet
P62484	Abi2	Filopodium,Cell projection,Cytoplasm,Cytoskeleton,Adherens junction,Lamellipodium,Cell junction,Dendritic spine		Filopodium,Cell projection,Cytoplasm,Cytoskeleton,Adherens junction,Lamellipodium,Cell junction,Dendritic spine
Q69ZX8	Ablim3	Cytoplasm		Cytoplasm
Q4KML4	Abracl			
Q5SSL4	Abr	Cell projection,Synapse,Axon,Cell junction,Dendritic spine		Cell projection,Synapse,Axon,Cell junction,Dendritic spine
Q8K448	Abca5	Late endosome membrane,Lysosome membrane,Cell membrane,Golgi apparatus membrane	Multi-pass membrane protein	Multi-pass membrane protein,Lysosome membrane,Golgi apparatus membrane,Cell membrane,Late endosome membrane
Q8BUZ1	Abra	Sarcomere,Cytoskeleton,Cytoplasm,Myofibril		Sarcomere,Cytoskeleton,Cytoplasm,Myofibril
Q8BYZ1	Abi3	Cytoplasm		Cytoplasm
P00520	Abl1	Cytoskeleton,Mitochondrion,Nucleus,Cytoplasm		Cytoskeleton,Mitochondrion,Nucleus,Cytoplasm
Q8R2Y0	Abhd6	Lysosome membrane,Mitochondrion membrane,Late endosome membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Lysosome membrane,Mitochondrion membrane,Late endosome membrane
Q9QYL7	Abt1	Nucleolus,Nucleus		Nucleolus,Nucleus
Q8BPZ8	Abraxas1	Nucleus		Nucleus
Q99LJ2	Abtb1	Cytoplasm		Cytoplasm
Q7TQI7	Abtb2			
Q4JIM5	Abl2	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
P50544	Acadvl	Mitochondrion inner membrane	Peripheral membrane protein	Mitochondrion inner membrane,Peripheral membrane protein
Q99J27	Slc33a1	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
E9Q4Z2	Acacb	Mitochondrion		Mitochondrion
Q9D061	Acbd6	Cytoplasm		Cytoplasm
Q8K2H4	Acap1	Recycling endosome membrane	Peripheral membrane protein	Recycling endosome membrane,Peripheral membrane protein
Q9D258	Acbd7			
P45952	Acadm	Mitochondrion matrix		Mitochondrion matrix
Q6ZQK5	Acap2	Endosome membrane	Peripheral membrane protein	Endosome membrane,Peripheral membrane protein
Q5XG73	Acbd5	Peroxisome membrane	Single-pass membrane protein	Peroxisome membrane,Single-pass membrane protein
Q99PU5	Acsbg1	Cytoplasm,Microsome,Cytoplasmic vesicle,Cell membrane,Endoplasmic reticulum		Cytoplasm,Microsome,Cytoplasmic vesicle,Cell membrane,Endoplasmic reticulum
P31786	Dbi	Endoplasmic reticulum,Golgi apparatus		Endoplasmic reticulum,Golgi apparatus
Q5SWU9	Acaca	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q07417	Acads	Mitochondrion matrix		Mitochondrion matrix
Q9D7B6	Acad8	Mitochondrion		Mitochondrion
Q2XU92	Acsbg2	Cytoplasm,Membrane	Peripheral membrane protein	Cytoplasm,Membrane,Peripheral membrane protein
Q8JZN5	Acad9	Mitochondrion inner membrane	Peripheral membrane protein	Mitochondrion inner membrane,Peripheral membrane protein
P51174	Acadl	Mitochondrion matrix		Mitochondrion matrix
Q8K370	Acad10			
Q80XL6	Acad11	Peroxisome,Mitochondrion membrane		Peroxisome,Mitochondrion membrane
Q8R0I0	Ace2	Cell projection,Cytoplasm,Secreted,Cilium,Apical cell membrane,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell projection,Cytoplasm,Secreted,Cilium,Apical cell membrane,Cell membrane
Q9DBL1	Acadsb	Mitochondrion matrix		Mitochondrion matrix
D0G895	Ace3	Cytoplasmic vesicle,Secretory vesicle,Acrosome membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cytoplasmic vesicle,Secretory vesicle,Acrosome membrane
Q5EE38	Acd	Telomere,Nucleus,Chromosome		Telomere,Nucleus,Chromosome
Q9R0W9	Chrna6	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
Q8R4G9	Chrna3	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
Q8R4X1	Acer1	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
P04756	Chrna1	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
P49582	Chrna7	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
Q8VD53	Acer2	Golgi apparatus membrane	Multi-pass membrane protein	Multi-pass membrane protein,Golgi apparatus membrane
O70174	Chrna4	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein,Lipid-anchor	Postsynaptic cell membrane,Multi-pass membrane protein,Lipid-anchor,Synapse,Cell membrane,Cell junction
Q8R493	Chrnb4	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
P09470	Ace	Secreted,Cytoplasm,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Secreted,Cytoplasm,Cell membrane
Q9D099	Acer3	Golgi apparatus membrane,Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Golgi apparatus membrane,Endoplasmic reticulum membrane
Q9ERK7	Chrnb2	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
Q91X60	Chrna2	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
Q2MKA5	Chrna5	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
P20782	Chrne	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
P09690	Chrnb1	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
Q9JIX8	Acin1	Nucleus,Nucleoplasm,Nucleus speckle		Nucleus,Nucleoplasm,Nucleus speckle
P21836	Ache	Secreted,Synapse,Cell membrane,Cell junction	Lipid-anchor,GPI-anchor,Peripheral membrane protein	Lipid-anchor,Secreted,Synapse,Peripheral membrane protein,Cell membrane,Cell junction,GPI-anchor
Q8BMN3	Chrnb3	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
P04760	Chrng	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
P02716	Chrnd	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
O54967	Tnk2	Clathrin-coated pit,Clathrin-coated vesicle,Cytoplasm,Endosome,Adherens junction,Cytosol,Nucleus,Cytoplasmic vesicle membrane,Cytoplasmic vesicle,Cell junction,Cell membrane,Membrane	Peripheral membrane protein	Clathrin-coated pit,Clathrin-coated vesicle,Cytoplasm,Endosome,Adherens junction,Cytosol,Peripheral membrane protein,Nucleus,Cytoplasmic vesicle membrane,Cytoplasmic vesicle,Cell junction,Cell membrane,Membrane
Q9D1Z3	Atpsckmt	Mitochondrion membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein
