inchi_key	status	target	combined_20	combined_6	gfp_20	gfp_6	gfpgpi_20	gfpgpi_6
XYUYSDBKGVJSKN-UHFFFAOYSA-N	4_weak_hit_backup	PRKCB,PRKCG	-34.243125	-12.67455	-12.69275	-6.5825	-55.7935	-27.962
BSQHKYLMKDAHEX-GOSISDBHSA-N	4_weak_hit_backup	SMO	-33.979875	-12.435	-45.1185	-20.39625	-22.84125	-8.55725
RQVLGMREYUFLPQ-UHFFFAOYSA-N	4_weak_hit_backup	DOT1L	-32.823	-11.696375	6.58925	3.7825	-72.23525	-44.2155
CKCSOMMBIPJYSG-UHFFFAOYSA-N	4_weak_hit_backup		-32.29975	-11.15825	-30.263	-13.64475	-34.3365	-11.20025
WJUNQSYQHHIVFX-UHFFFAOYSA-N	4_weak_hit_backup	HSP90AA1,HSP90B1	-30.907375	-10.403125	-21.857	-11.02225	-39.95775	-11.62875
VOASEWXFCTZRDF-UHFFFAOYSA-N	4_weak_hit_backup	HSP90AB1,HSP90AA1	-30.684375	-10.388875	-22.52575	-11.05225	-38.843	-11.40975
CEDLXWRFEZCVEU-INIZCTEOSA-N	4_weak_hit_backup	CLK2	-30.623	-10.346375	-0.752	-0.1755	-60.494	-32.10025
KLSRELDSEJWOAS-UHFFFAOYSA-N	4_weak_hit_backup		-29.4315	-10.072125	-12.493	-6.572	-46.37	-12.98275
NRJSHVPDELFHKB-UHFFFAOYSA-N	4_weak_hit_backup	PDE4D,PDE4B,PDE4A	-29.415125	-9.769	-8.37625	-5.31225	-50.454	-18.745
XEEQGYMUWCZPDN-DOMZBBRYSA-N	4_weak_hit_backup	PANX1,GJA8,GJD2	-27.70175	-9.336875	2.624	1.26775	-58.0275	-31.122
BPNUQXPIQBZCMR-IBGZPJMESA-N	4_weak_hit_backup	PRKACA,PRKACB,PRKACG	-26.057125	-8.9665	3.14425	1.43225	-55.2585	-25.093
OONFNUWBHFSNBT-HXUWFJFHSA-N	4_weak_hit_backup	ERBB2,EGFR	-25.4905	-8.808125	3.50275	1.51475	-54.48375	-24.427
XNWDRALEEPGBHB-UHFFFAOYSA-N	4_weak_hit_backup	PRKD3,PRKD2,PRKD1	-24.568	-8.699875	3.0555	1.3505	-52.1915	-23.36025
GNRIZKKCNOBBMO-UHFFFAOYSA-N	4_weak_hit_backup	SMPD1,FASN	-12.61575	-6.01275	-2.39425	-1.1055	-22.83725	-8.473
DETOMBLLEOZTMZ-UHFFFAOYSA-N	4_weak_hit_backup	MEN1	-11.13325	-5.40925	-4.1295	-2.464	-18.137	-6.4375
CHILCFMQWMQVAL-UHFFFAOYSA-N	4_weak_hit_backup	IKBKB	-7.0812	-3.881625	-5.03965	-2.896	-9.12275	-4.58675
ZIQFYVPVJZEOFS-UHFFFAOYSA-N	4_weak_hit_backup	ABL1,ABL2,SRC,BCR	-6.22625	-3.59485	-7.999	-4.3295	-4.4535	-2.7785
