inchi_key	n_annotations	target_genes	annotated_moas
PLHJCIYEEKOWNM-HHHXNRCGSA-N	4	FNTB,FNTA	Farnesyltransferase (geranylgeranyl pyrophosphate synthase) Inhibitors,Inhibitors of Signal Transduction Pathways
POIHISOJGIBUNY-ZJWIQQFQSA-N	2	PLA2G10	Phospholipase A2 (PLA2) Inhibitors,Leukotriene Antagonists
PPLNRTPNYCWODC-UHFFFAOYSA-N	1	CES2	Carboxylesterase Inhibitors
PQZDYFRDRHRZGF-UHFFFAOYSA-N	1		
PURKAOJPTOLRMP-UHFFFAOYSA-N	1	CFTR	CFTR Channel Activators
PVXYYWORFYROCX-UHFFFAOYSA-N	1	KMT2A	MLL1-WDR5                 Protein-protein interaction inhibitor
PXNBOFBSFXZTES-UHFFFAOYSA-N	4	HTR3E,HTR3D,HTR3C,HTR3B	5-HT3 Receptor agonist ligands
QAUVAHYHKLRJCQ-UHFFFAOYSA-N	1	ADRA1B	alpha1-Adrenoceptor Antagonists
QITKCQWRUKVTKJ-YIXHJXPBSA-N	1	NPFFR2	Neuropeptide FF Receptor 2 (NPFF2) Agonists
QJJXYPPXXYFBGM-LFZNUXCKSA-N	12	PPP3R2,PPP3R1,PPP3CC,PPP3CB,PPP3CA,FKBP1A	Calcineurin inhibitor,FKBP12 gene modulator
QLYKJCMUNUWAGO-GAJHUEQPSA-N	1	CNR1	Cannabinoid CB1 Inverse Agonists
QPKKAIMODKGHRH-UHFFFAOYSA-N	15	CDKL5,GSK3B,AURKA	Cyclin-Dependent Kinase Inhibitors,Glycogen Synthase Kinase 3 beta (GSK-3beta| tau Protein Kinase I) Inhibitors,Aurora-A (ARK1) Kinase Inhibitors,Inhibitors of Signal Transduction Pathways,Antimitotic Drugs
QQKKPWJFHBFCTH-UHFFFAOYSA-N	1	PRKCH	Protein Kinase C (PKC) Inhibitors
QSHGISMANBKLQL-OWJWWREXSA-N	15	APH1A,APH1B,PSEN1,PSEN2,PSENEN	Antiamyloidogenic Agents,Notch Signaling Inhibitors,gamma-Secretase Inhibitors
QSTFOTXJPGATJP-UHFFFAOYSA-N	2	CASR	Parathyroid Hormone Secretion Stimulants,Calcium-Sensing Receptor (CaSR) Antagonists
QSZCDYHTHAAFAW-UHFFFAOYSA-N	1	PDE10A	Phoshodiesterase 10A Inhibitor
QUNXSQHPYBFZQN-UHFFFAOYSA-N	1	DGAT1	Diacylglycerol Acyltransferase type 1 (DGAT-1) Inhibitors
QUVHZANTGRHKML-UHFFFAOYSA-N	1		
QVKGXWZEXPUJMY-AWEZNQCLSA-N	1		
QVZCXCJXTMIDME-UHFFFAOYSA-N	2	SLC29A1,SLC29A2	Adenosine Reuptake Inhibitor
QWQOWMCNZNPRMC-UHFFFAOYSA-N	3	ABL1	Inhibitors of Signal Transduction Pathways,Bcr-Abl Kinase Inhibitors,Abl Kinase Inhibitors
QZAYGJVTTNCVMB-UHFFFAOYSA-N	17	HTR1B,HTR1D,HTR2B,HTR2A,HTR3A,HTR2C,HTR3B,HTR3C,HTR3D,HTR3E,HTR4,HTR6,HTR7,HTR1F,HTR1A,HTR1E,HTR5A	Serotonin receptor agonist
QZKGUNQLVFEEBA-UHFFFAOYSA-N	2	ADRA2C	ADRA2C antagonist,alpha2C-Adrenoceptor Antagonists
RBQOQRRFDPXAGN-UHFFFAOYSA-N	4	SLC29A4,SLC29A3,SLC29A2,SLC29A1	Adenosine Reuptake Inhibitors
RDLIBCPWPNCFBW-UHFFFAOYSA-N	4	HTR3E,HTR3D,HTR3C,HTR3B	5-HT3 receptoe agonist
RDSAUPRYZCQORM-BJTUFNSYSA-N	1	SSTR3	Somatostatin srif1C (sst3) Antagonists
RESDJUDFKVEMNA-UHFFFAOYSA-N	1	RET	RET inhibitor
RHMXXJGYXNZAPX-UHFFFAOYSA-N	3	CSNK2A1,CSNK2A2,CSNK2B	Casein Kinase II (CK2) Inhibitors
RJURFGZVJUQBHK-IIXSONLDSA-N	6	CDK9,POLRMT	RNA synthesis inhbitor,Transcription Inhibitors,DNA-Directed RNA Polymerase Inhibitors
RLAJOHAIIACFAM-ZZXKWVIFSA-N	28	HSPB1,PRKD3,PRKD2,PRKD1,AURKA,MAPKAPK5,MAPKAPK2	TNF-alpha Release Inhibitors,Heat Shock Protein 27 (hsp27) Inhibitors,MAPKAP-K2 (MK2) Inhibitors,Aurora-A (ARK1) Kinase Inhibitors
RNPWPESLLCUROD-UHFFFAOYSA-N	2	CCND2,CCND3	CDK Inhibitors
RPBMXJHQYJLPDN-UHFFFAOYSA-N	2	BRD9,BRD7	BRD9/BRD7 inhibitor
RPDFDSQFBCJTDY-GAQXSTBRSA-N	1	TACR1	Tachykinin NK1 Antagonists
RQFYFNAGNBUGFC-UHFFFAOYSA-N	2	GSK3A,GSK3B	GSK3a/b inhibitor
RQVLGMREYUFLPQ-UHFFFAOYSA-N	1	DOT1L	Dot1L inhibitors
RRRUXBQSQLKHEL-UHFFFAOYSA-N	2	PDE4C,ENPP4	Phosphodiesterase IV Inhibitors
RTGHTZYVGKKHJP-UHFFFAOYSA-N	1	SCD	SCD inhibitor
SCVSKBOXACFBBW-WGSAOQKQSA-N	3	FLT1	Angiogenesis Inhibitors,Inhibitors of Signal Transduction Pathways,VEGFR-1 (Flt-1) Inhibitors
SDHTXBWLVGWJFT-UMXDBTPVSA-N	1		
SETVRSKZJJWOPA-FLDGXQSCSA-N	4	JUN,UQCRC1	Electron Transport Chain Inhibitors,AP-1 Inhibitors
SFDROHXKTATJBI-UHFFFAOYSA-N	2	MEN1	Inhibitor of MEN1 (Menin),MEN1 inhibitor
SHGAZHPCJJPHSC-YCNIQYBTSA-N	3	RARA,RORB,RXRG	Retinoid RORbeta Ligands
SHGAZHPCJJPHSC-ZVCIMWCZSA-N	9	RARA,RXRA,ABCA1	Retinoid RXR Agonists,Retinoid RAR Agonists,ABCA1 Expression Enhancers
SMILIUISKUMIEU-UHFFFAOYSA-N	1	CCR1	CCR1 antagonist
SNICXCGAKADSCV-JTQLQIEISA-N	2	CHRNA3,CHRNB4	Nicotinic alpha7 Partial Agonists
SPDQRCUBFSRAFI-DOMZBBRYSA-N	1	PIK3C3	VPS34 inhibitor
SPLDGZVGTOKENR-UZLBHIALSA-N	1	GRM5	mgluR5 Antagonists
STRAIBOPIVXLQO-UHFFFAOYSA-N	2	MAPK14,MAPK13	p38 MAPK Inhibitors
SXHHURZUIGDYAR-QGZVFWFLSA-N	2	MAP3K12,MAP3K13	MAP3K12 (DLK) Inhibitors
TVTXCJFHQKSQQM-LJQIRTBHSA-N	1	MDM2	Mdm2 p53-binding protein inhibitor
TXODBIOSWNNKJM-UHFFFAOYSA-N	2	SLC1A5	Large Conductance K(Ca) 1.1 (BK, maxi K+) Channel Activators,GABA(A) Receptor Agonists
TXZRKKQUOSAZKF-UHFFFAOYSA-N	1	CCR9	Chemokine CCR9 Receptor Ligands
TZUYDLKHNQUNKS-UHFFFAOYSA-N	2	ELAVL1,MYLK	ELAVL1 gene inhibitor
TZXKOCQBRNJULO-UHFFFAOYSA-N	1		
TZZISDZOBASIEO-UHFFFAOYSA-N	2	MAP3K14	MAP3K14) Inhibitors,NFkappaB-inducing kinase (NIK
UEIXZMRXRYKEIL-UHFFFAOYSA-N	1	SGK3	SGK3 gene inhibitor
UGYXPZQILZRKJJ-UHFFFAOYSA-N	1	HRH4	HRH4 agonist
UJNGIXKARARJGM-UHFFFAOYSA-N	1	LSS	Lanosterol Synthase Inhibitors
ULFUJLFTRWWLPO-UHFFFAOYSA-N	1	TGFBR2	TGFBR2 degrador
UQHKJRCFSLMWIA-UHFFFAOYSA-N	4	CAMK2D,PRKCA	Protein Kinase C (PKC) Inhibitors,Non-Steroidal Antiinflammatory Drugs
USEMRPYUFJNFQN-UHFFFAOYSA-N	2	KCNN3,KCNN2	Small Conductance SK(Ca) 2.3 (SK3, SKCa3, hKCa3) Channel Activators
UTBSBSOBZHXMHI-CABCVRRESA-N	6	CCNA1,CCNB2,CCNB3,CDK2,CDK1,RPS6KA3	CDK inhibitor
UUSJIECFMYLBBU-UHFFFAOYSA-N	2	AMD1	S-Adenosyl-L-methionine Decarboxylase Inhibitors,Antimetabolites
UVFVGMMQAMBWJB-IFQMDVHZSA-N	1	NR2F6	NR2F6 Agonists
UYBRROMMFMPJAN-UHFFFAOYSA-N	1		
UZIATSFXNVOVFE-OAHLLOKOSA-N	2	DYRK1A,GSK3B	DYRK-1 alpha protein kinase inhibitor
VDPYORASPBMPQL-LBPRGKRZSA-N	3	DPP4	DP-IV) Inhibitors,DPP-IV,Dipeptidyl Peptidase IV (CD26
VFBGXTUGODTSPK-BAQGIRSFSA-N	1	EIF2AK2	PKR Inhibitor
VFCRKLWBYMDAED-REWPJTCUSA-N	10	APH1A,APH1B,PSEN1,PSEN2,PSENEN	gamma-Secretase Inhibitors,Apoptosis Inducers
VGEREEWJJVICBM-UHFFFAOYSA-N	6	VCAM1,ICAM1	Antioxidants,ICAM1 Expression Inhibitors,VCAM1 Expression Inhibitors
VGKDLMBJGBXTGI-SJCJKPOMSA-N	2	SLC6A3,SLC6A4	5-HT Reuptake Inhibitors
VHDOJOVCAVZTRK-UHFFFAOYSA-N	2	TNIK,MAP4K4	MAP4K4 inhibitor
VILCJCGEZXAXTO-UHFFFAOYSA-N	2	TERT	Telomerase Inhibitors,Chelating Agents
VMZMNAABQBOLAK-DBILLSOUSA-N	2	SSTR3,SSTR5	Somatostatin SRIF1B (sst5) inhibitor
VOASEWXFCTZRDF-UHFFFAOYSA-N	2	HSP90AB1,HSP90AA1	Hsp90 inhibitor
VRVJKILQRBSEAG-LFPIHBKWSA-N	2	EP300,CREBBP	CREBBP/ EP300 KAT inhibitor
VWWVDRUMIVMLNJ-HNNXBMFYSA-N	1	HSPA1A	Selective allosteric inhibitor for HSPA1A/Hsp70i
VWXRQYYUEIYXCZ-OBIMUBPZSA-N	2	AVPR1A,OXTR	Oxytocin (OT) Antagonists
WALDOGJQTYJBFG-AATRIKPKSA-N	1	PRKCQ	PKC theta inhibitor
WAZOFYYWAQHTQZ-UHFFFAOYSA-N	1	TGM2	Tissue transglutaminase inhibitor
WCDLCPLAAKUJNY-UHFFFAOYSA-N	1	TGFBR2	ALK2 inhibitor
WCIGMFCFPXZRMQ-UHFFFAOYSA-N	1	LRRK2	LRRK2 gene inhibitor
WDWWXLHZTZFIDA-UHFFFAOYSA-N	1	BMX	Bmx tyrosine kinase inhibitor
WEXCGGWTIDNVNT-UHFFFAOYSA-N	1		
WFDHLKUQFQCHKF-UHFFFAOYSA-N	1	AKT1	allosteric AKT inhbitor
WFJQCQNBWDAYSK-AWEZNQCLSA-N	1	KDR	VEGFR-2 (FLK-1/KDR) Inhibitors
WFMNAESJUUOVOL-RBZFPXEDSA-N	1	CHRNA7	Nicotinic alpha7 Agonists
WFZVSYFCDKGJEM-CRAIPNDOSA-N	1	DRD2	Dopamine D2 Agonists
WJEOLQLKVOPQFV-UHFFFAOYSA-N	8	FGFR3,KIT	Angiogenesis Inhibitors,KIT (C-KIT) Inhibitors,FGFR3 Inhibitors,Inhibitors of Signal Transduction Pathways
WJUGGKGTCAVATA-UHFFFAOYSA-N	1	PTAFR	Platelet-Activating Factor Receptor (PAFR) Antagonists
WJUNQSYQHHIVFX-UHFFFAOYSA-N	2	HSP90AA1,HSP90B1	Heat Shock Protein 90 (hsp90) Inhibitors
WKSHMJCYWFOADB-UHFFFAOYSA-N	1	ABHD6	ABHD6 Inhibitor
WMBWREPUVVBILR-NQIIRXRSSA-N	3	PPARA	PPARalpha Agonists,Antioxidants,Enoyl-(acyl-carrier protein) Reductase Fabl Inhibitors
WOUDPYBESPZALS-UHFFFAOYSA-N	6	CDK9,CCNT1,GSK3A	CDK9/Cyclin T1 Inhibitors,Glycogen Synthase Kinase 3 (GSK-3) Inhibitors
WPYWMXNXEZFMAK-UHFFFAOYSA-N	6	GUCY1A2,GUCY1A1,GUCY1B1	Soluble guanylate cyclase activator,Soluble Guanylyl Cyclase (sGC) Activators
WQLBIRHATOKWMC-BZSNNMDCSA-N	1	PLG	Inhibitors of Blood Coagulation Pathways
WRWCAQNPEXYGJK-PKNBQFBNSA-N	1	RXRA	Retinoid RXRalpha Agonists
WSLWDYFVQCTRRJ-UHFFFAOYSA-N	1	TGFBR1	ALK5 inhibitor
WVIPVRJNDZWQGP-UHFFFAOYSA-N	1	BRD4	bET inhibitor BD1 selective
WVTUDMXKOFCUFN-XMMPIXPASA-N	1	PTGIR	Prostanoid IP Agonists
WXUORZWCMOOXRS-DEOSSOPVSA-N	2	PSEN2,PSEN1	Known Gamma secretase modulator
WYWIFABBXFUGLM-UHFFFAOYSA-N	8	HTR1E,ADRA1B,ADRA2A,ADRA1A	alpha2A(2D)-Adrenoceptor Agonists,alpha1A-Adrenoceptor Agonists
XBJHBEQDHSREQB-QHCPKHFHSA-N	1	MDM2	Mdm2 p53-binding protein inhibitor
XCHAQSBFCMITMW-OAQYLSRUSA-N	1	HCRTR2	Orexin OX-2 Antagonists
XEEQGYMUWCZPDN-DOMZBBRYSA-N	6	PANX1,GJA8,GJD2	Pannexin 1 (PANX1) Inhibitors,Antimalarial
XEPVNVXTIBRSPO-UHFFFAOYSA-N	1	DAO	D-Amino Acid Oxidase (DAAO) Inhibitors
XFPKKPUAPZGFCK-UHFFFAOYSA-N	4	SSTR2,SSTR5	Somatostatin SRIF1B (sst5) Agonists,Somatostatin SRIF1A (sst2) Agonists
XFWZBMTTXLUWKW-YIUHCBHRSA-N	1		
XIDPLDHLNCWZQE-UHFFFAOYSA-N	1	HTR2C	HTR2C antagonist
XJGOPYWCSIEHLX-UHFFFAOYSA-N	2	BRAF,RAF1	RAF Inhibitor
XNEWILNREVDHDJ-UHFFFAOYSA-N	2	CASR	Parathyroid Hormone Secretion Stimulants,Calcium-Sensing Receptor (CaSR) Antagonists
XNUGHKFWLZXJDH-UHFFFAOYSA-N	4	HDAC1	Histone acetylation modulator,Wnt pathway activator,Wnt pathway agonist,ATOH1 reactivator
XNWDRALEEPGBHB-UHFFFAOYSA-N	3	PRKD3,PRKD2,PRKD1	Protein Kinase D (PKD) Inhibitors
XOAHEZUFENTGII-UHFFFAOYSA-N	1		
XQYASZNUFDVMFH-CQSZACIVSA-N	1	CCR1	Chemokine CCR1 Antagonists
XQYZDYMELSJDRZ-UHFFFAOYSA-N	3	PDE4C,PDE10A,ENPP6	Phosphodiesterase PDE10A Inhibitors
XWLOYAAKIFUZDU-UHFFFAOYSA-N	1	MAP4K4	MAP4K4 inhibitor
XXSDLQLNIVFIJI-UHFFFAOYSA-N	2	PIK3C3	Phosphatidylinositol 3-Kinase Catalytic Subunit Type 3 (PIK3C3,Vps34) Inhibitors
XYKWNRUXCOIMFZ-UHFFFAOYSA-N	3	ALOX5	NF-kappaB (NFKB) Activation Inhibitors,Lipoxygenase Inhibitors,Cyclooxygenase (COX) Inhibitors
XYUYSDBKGVJSKN-UHFFFAOYSA-N	6	PRKCB,PRKCG	Angiogenesis Inhibitors,Protein Kinase PKC beta Inhibitors,Inhibitors of Signal Transduction Pathways
XZZOJFOFCDHYRX-UHFFFAOYSA-N	1	MAPKAPK2	MAPKAP-K2 (MK2) Inhibitors
YCOYDOIWSSHVCK-UHFFFAOYSA-N	24	FLT1,KDR,KIT	VEGFR-3 (FLT4) Inhibitors,VEGFR-2 (FLK-1/KDR) Inhibitors,VEGFR-1 (Flt-1) Inhibitors,PDGFRbeta Inhibitors,KIT (C-KIT) Inhibitors,Inhibitors of Signal Transduction Pathways,Aromatase Inhibitors,Angiogenesis Inhibitors
YDBCEBYHYKAFRX-UHFFFAOYSA-N	1	HTR1D	HTR1D antagonist
YEYAKZXEBSVURO-UHFFFAOYSA-N	12	HTR3A,HTR3B,HTR3C,HTR3E	5-HT3 antagonist,NF-kappaB (NFKB) Activation Inhibitors,Apoptosis Inducers
YFIAGILPWYUJOO-UHFFFAOYSA-N	5	ROCK2	ROCKalpha) Inhibitors,Rho Kinase 2 (ROCK 2,p160-ROCK) Inhibitors,Rho Kinase 1 (ROCK 1,Inhibitors of Signal Transduction Pathways
YHCNHDIDECZSCA-AGHHOFFYSA-N	9	BACE1,CTSE,BACE2	Cathepsin E Inhibitors,beta-Secretase 2 (BACE2) Inhibitors,beta-Secretase 1 (BACE1) Inhibitors
YIDDLAAKOYYGJG-UHFFFAOYSA-N	1	MAP3K5	MAP3K5 inhibitor
YILJWHUIUCRKEU-UHFFFAOYSA-N	1	AGTR1	Angiotensin Receptor Antagonists
YNZXWQJZEDLQEG-UHFFFAOYSA-N	1	ADRA1A	alpha-Adrenoceptor Antagonists
YULUCECVQOCQFQ-UHFFFAOYSA-N	1	PDK1	PDK1 inhibitor
YUNQZQREIHWDQT-UHFFFAOYSA-N	2	BRPF1,BRD1	BRPF1B and BRPF2 inhibitor
YZRLVRHBPHBXFV-KYJUHHDHSA-N	1	TACR1	Tachykinin Antagonists
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	1	IGFBP4	IGFBP1-6 Inhibitor
ZEGAKOAYQRABCU-UHFFFAOYSA-N	2	IL2	IL-2 Production Inhibitors,Protein Kinase C (PKC) Inhibitors
ZEOWFBDZQYSYSD-HXUWFJFHSA-N	1	PPARA	PPARalpha Agonists
ZFOMCSNUEHMROO-UHFFFAOYSA-N	6	DYRK3,DYRK2,HASPIN	Dual-Specificity Tyrosine-(Y)-Phosphorylation Regulated Kinase 2 (DYRK2) Inhibitors,Serine/Threonine Kinase Haspin (Gsg2) Inhibitors
ZGCGVCMUJCQTAY-UHFFFAOYSA-N	1		
ZGUGJATZUQXKMC-SDLFDTCQSA-N	24	FKBP1A,PPP3R2,PPP3R1,PPP3CC,PPP3CB,PPP3CA	TLR8 Receptor Agonists,TLR7 Receptor Agonists,FKBP12 gene modulator,Calcineurin inhibitor
ZIQFYVPVJZEOFS-UHFFFAOYSA-N	16	ABL1,ABL2,SRC,BCR	Bcr-Abl Kinase Inhibitors,Abl Kinase Inhibitors,Inhibitors of Signal Transduction Pathways,Src Kinase Inhibitors
ZPMNHBXQOOVQJL-UHFFFAOYSA-N	1	HTR4	5-HT4 Agonists
ZPVUIOVIUFJGHO-UHFFFAOYSA-N	1	DDR2	DDR2 inhibitor
ZRPZPNYZFSJUPA-UHFFFAOYSA-N	1		
ZVHNDZWQTBEVRY-UHFFFAOYSA-N	9	JAK1,JAK2,TYK2	Tyk2 Inhibitors,Jak1 Inhibitors,Jak2 Inhibitors
ZXMXAOYWSLZLQM-NZNGGYBSSA-N	1	F2RL1	Proteinase activated receptor 2 (PAR2) partial agonist
