inchi_key	conc	cells	nuclei	prp	gfp
OONFNUWBHFSNBT-HXUWFJFHSA-N	1.99712	GFP	754	2.814972697	-1.549439039
TZUYDLKHNQUNKS-UHFFFAOYSA-N	1.99712	GFP	690	-1.050825167	-0.342696386
GMGMDWSPSKXMJH-OAQYLSRUSA-N	1.99712	GFP	778	2.575431186	1.270012776
SXHHURZUIGDYAR-QGZVFWFLSA-N	1.99712	GFP	37	-10.34035389	-17.73473325
QPKKAIMODKGHRH-UHFFFAOYSA-N	1.99712	GFP	66	-7.486174592	-13.58319064
YZRLVRHBPHBXFV-KYJUHHDHSA-N	1.99712	GFP	819	2.413684858	-0.254096115
STRAIBOPIVXLQO-UHFFFAOYSA-N	1.99712	GFP	697	2.172304992	-1.104729779
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	1.99712	GFP	627	4.287090634	-0.550004034
JRSGZNKDLJKFKK-XMMPIXPASA-N	1.99712	GFP	941	2.022514258	3.71848501
GNKXHXKTZQAERZ-UHFFFAOYSA-N	1.99712	GFP	670	0.511515882	0.028338248
CEUMAXLRGBKFQP-UHFFFAOYSA-N	1.99712	GFP	807	-3.448072195	0.868787485
	NA	GFP	819	2.458815695	0.649404201
	NA	GFP	1052	2.831919428	-12.0659863
UZIATSFXNVOVFE-OAHLLOKOSA-N	1.99712	GFP	907	0.274474934	-2.529063909
IYIGLWQQAMROOF-HHHXNRCGSA-N	1.99712	GFP	936	0.698090348	2.418123495
BSQHKYLMKDAHEX-GOSISDBHSA-N	1.99712	GFP	938	0.49948021	1.057144333
OONFNUWBHFSNBT-HXUWFJFHSA-N	1.99712	GFP	769	3.404766667	-2.815652181
TZUYDLKHNQUNKS-UHFFFAOYSA-N	1.99712	GFP	528	0.516786315	0.495269518
GMGMDWSPSKXMJH-OAQYLSRUSA-N	1.99712	GFP	824	1.52951224	-0.790149019
SXHHURZUIGDYAR-QGZVFWFLSA-N	1.99712	GFP	298	-11.25567348	-17.59791991
QPKKAIMODKGHRH-UHFFFAOYSA-N	1.99712	GFP	38	-9.238272838	-13.18418103
YZRLVRHBPHBXFV-KYJUHHDHSA-N	1.99712	GFP	814	1.736383503	1.46926096
STRAIBOPIVXLQO-UHFFFAOYSA-N	1.99712	GFP	907	3.263737774	0.543050628
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	1.99712	GFP	858	3.83260898	1.982279767
JRSGZNKDLJKFKK-XMMPIXPASA-N	1.99712	GFP	826	2.044071048	0.908744182
GNKXHXKTZQAERZ-UHFFFAOYSA-N	1.99712	GFP	662	-0.146670092	-0.722524123
CEUMAXLRGBKFQP-UHFFFAOYSA-N	1.99712	GFP	759	-2.909466233	1.233131699
	NA	GFP	692	0.447354464	1.274051924
	NA	GFP	1086	1.943414573	-12.29891336
UZIATSFXNVOVFE-OAHLLOKOSA-N	0.63108992	GFP	1071	-2.156053918	1.215463921
IYIGLWQQAMROOF-HHHXNRCGSA-N	0.63108992	GFP	815	1.536789307	-1.664409196
BSQHKYLMKDAHEX-GOSISDBHSA-N	0.63108992	GFP	1001	3.51094401	0.772390333
OONFNUWBHFSNBT-HXUWFJFHSA-N	0.63108992	GFP	922	1.644638552	-2.322404585
TZUYDLKHNQUNKS-UHFFFAOYSA-N	0.63108992	GFP	748	-0.261710869	-0.560626034
GMGMDWSPSKXMJH-OAQYLSRUSA-N	0.63108992	GFP	859	3.479636651	1.133229143
SXHHURZUIGDYAR-QGZVFWFLSA-N	0.63108992	GFP	273	-2.95464493	-1.936689949
QPKKAIMODKGHRH-UHFFFAOYSA-N	0.63108992	GFP	538	-0.883911415	-2.970563582
YZRLVRHBPHBXFV-KYJUHHDHSA-N	0.63108992	GFP	734	1.672016983	0.613641691
STRAIBOPIVXLQO-UHFFFAOYSA-N	0.63108992	GFP	753	0.278052878	-1.497220594
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	0.63108992	GFP	726	1.809079722	-0.844549437
JRSGZNKDLJKFKK-XMMPIXPASA-N	0.63108992	GFP	860	1.971722424	-0.570248799
GNKXHXKTZQAERZ-UHFFFAOYSA-N	0.63108992	GFP	807	2.15993251	-0.274330825
CEUMAXLRGBKFQP-UHFFFAOYSA-N	0.63108992	GFP	943	-4.763921746	-0.260456092
	NA	GFP	854	0.16752225	0.527438984
	NA	GFP	1087	3.898125253	-11.32406897
UZIATSFXNVOVFE-OAHLLOKOSA-N	0.63108992	GFP	1027	-3.406959882	-1.995954352
IYIGLWQQAMROOF-HHHXNRCGSA-N	0.63108992	GFP	897	2.68118993	0.074733428
BSQHKYLMKDAHEX-GOSISDBHSA-N	0.63108992	GFP	1009	3.103698981	1.532150935
OONFNUWBHFSNBT-HXUWFJFHSA-N	0.63108992	GFP	860	0.015540467	-1.506442826
TZUYDLKHNQUNKS-UHFFFAOYSA-N	0.63108992	GFP	646	-1.172912937	-0.175325622
GMGMDWSPSKXMJH-OAQYLSRUSA-N	0.63108992	GFP	906	3.092379665	1.329116769
SXHHURZUIGDYAR-QGZVFWFLSA-N	0.63108992	GFP	306	-3.646329008	-3.144107778
QPKKAIMODKGHRH-UHFFFAOYSA-N	0.63108992	GFP	469	-2.136355645	-3.884119117
YZRLVRHBPHBXFV-KYJUHHDHSA-N	0.63108992	GFP	841	2.637782379	0.973850976
STRAIBOPIVXLQO-UHFFFAOYSA-N	0.63108992	GFP	690	1.104154789	-0.937834497
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	0.63108992	GFP	811	-0.063843329	-0.46644709
