Barcode,multiplexed_barcode,hcse_plate_id,Row,Column,well_type,inchi_key,solution_name,plate_name,concentration,units,GFP.PrP.count_value,GFP.PrP.count_ratio_value,GFP.PrPko.count_value,GFP.PrPko.count_ratio_value,GFPko.PrP.count_value,GFPko.PrP.count_ratio_value,GFPko.PrPko.count_value,GFPko.PrPko.count_ratio_value,Membrane_Intensity_MedianIntensity_CorrPrP.Category1_unclassified.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.Category1_unclassified.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrPko.median_value,total.count_value
VH97007019,,35979,1,1,SA,FUPKFFJNRCYVCY-AREMUKBSSA-N,SOL124084D1,AEOS01138800,20.0 ,uM ,2.4550642899808803,1.2800786095932737,2.014055882172857,2.219102142689499,0.7853366852408028,0.664569840346665,0.38343474602098565,0.2335045839332205,,2.4505852700962514,,,,,3.993015049787719,,,,489.0
VH97007019,,35979,1,4,SA,UZIATSFXNVOVFE-OAHLLOKOSA-N,SOL1250AD10,AEOS01138800,20.0 ,uM ,-0.31865899216455595,2.215667507919803,1.3494630435094372,1.5240560240291687,0.7082990106365609,0.7187369445676499,0.20384471338814394,0.10023222215803639,,2.4614572406077455,,,,,-8.554051208551082,,,,281.0
VH97007019,,35979,1,7,SA,LAYAEBGGDTWXAZ-RUZDIDTESA-N,SOL1245EA73,AEOS01138800,20.0 ,uM ,-0.8068898932910715,3.1201819251741667,0.8277323093921175,0.9464194903542851,0.6606765371991119,0.7571498241251213,0.05109832693331701,-0.012203932823817565,,-2.8427306507844143,,,,,-4.881967419865674,,,,231.0
VH97007019,,35979,1,10,SA,BSQHKYLMKDAHEX-GOSISDBHSA-N,SOL12484868,AEOS01138800,20.0 ,uM ,3.7308072652206103,3.720346451121449,0.49730676669530643,0.5291411638436211,0.6772549555062966,0.8105943607127105,-0.01110167391812128,-0.051047490521359276,,5.339304855271993,,,,,-0.1655141776757314,,,,518.0
VH97007019,,35979,1,13,SA,XBJHBEQDHSREQB-QHCPKHFHSA-N,SOL1247F40D,AEOS01138800,20.0 ,uM ,-0.018377895130765463,4.155613704990325,0.36659003971674753,0.3122518084641718,0.7209125906957093,0.8676714034008355,-0.019069824755603402,-0.058317806171656,,-4.1205604042220685,,,,,1.427463932455979,,,,289.0
VH97007019,,35979,1,16,SA,TZUYDLKHNQUNKS-UHFFFAOYSA-N,SOL124D34D6,AEOS01138800,20.0 ,uM ,1.5623751827449468,4.41399490424486,0.3230499885965129,0.20762952562783613,0.7483877766754778,0.893094437244239,-0.013599292090245463,-0.06032050865689469,,-4.9462657772310274,,,,,-5.704870854467632,,,,415.0
VH97007019,,35979,1,19,SA,GGPZCOONYBPZEW-UHFFFAOYSA-N,SOL12488050,AEOS01138800,20.0 ,uM ,0.4723497475258169,4.449615453784091,0.32805302899434957,0.2114219105996877,0.7366711837499901,0.8764335278148152,0.013479191722153071,-0.03927688163736269,,-2.066639202831984,,,,,-1.7922662423095301,,,,385.0
VH97007019,,35979,1,22,SA,SXHHURZUIGDYAR-QGZVFWFLSA-N,SOL123DA024,AEOS01138800,20.0 ,uM ,-4.684048693183832,4.372311459396404,0.4346284659211503,0.3789097890790729,0.6294690362094129,0.7472549851138897,0.07741471319390791,0.013169408507001863,,-3.798879842636437,,,,,-10.927392899738223,,,,108.0
VH97007019,,35979,1,25,SA,KASDHRXLYQOAKZ-XDSKOBMDSA-N,SOL123C866B,AEOS01138800,20.0 ,uM ,2.218198674847489,4.269230106955749,0.49332696523421804,0.480472628966112,0.30369241089881166,0.30571987056770905,0.08602549492751717,0.008253145032998982,,0.5323868934383715,,,,,-0.019938434123873982,,,,598.0
VH97007019,,35979,1,28,SA,YZRLVRHBPHBXFV-KYJUHHDHSA-N,SOL120825E6,AEOS01138800,20.0 ,uM ,0.5329642673492915,4.158927711339336,0.5532288694231053,0.52621042471216,-0.3392815609170231,-0.6150657813304183,0.054684456691338736,-0.02862594570566355,,-1.1465221758473445,,,,,0.02725290458849469,,,,526.0
VH97007019,,35979,1,31,SA,ULFUJLFTRWWLPO-UHFFFAOYSA-N,SOL124C945E,AEOS01138800,20.0 ,uM ,-6.804595148950833,-26.829830708834876,0.5827577502634621,0.5292841632190652,65.09598705139385,83.79323754651621,-0.004605643588640217,-0.09118191758355168,-0.09425316074818708,-0.11684630709424934,,-0.9971818270299331,,-1.4225324801696457,-1.2950459027141359,,-0.539264724997249,,809.0
