Barcode,multiplexed_barcode,hcse_plate_id,Row,Column,well_type,inchi_key,solution_name,plate_name,concentration,units,GFP.PrP.count_value,GFP.PrP.count_ratio_value,GFP.PrPko.count_value,GFP.PrPko.count_ratio_value,GFPko.PrP.count_value,GFPko.PrP.count_ratio_value,GFPko.PrPko.count_value,GFPko.PrPko.count_ratio_value,Memb.intensity_unclassified.count_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrPko.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.Memb.intensity_unclassified.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.Memb.intensity_unclassified.median_value,total.count_value
VH97007015,,35975,1,2,SA,FUPKFFJNRCYVCY-AREMUKBSSA-N,SOL124084D1,AEOS01138798,20.0 ,uM ,1.8024542357224644,-1.6031525846381054,-0.07025047183261869,0.05967721123958251,1.1595031561366456,1.0095422239785807,0.5788550728708541,0.5978235391740097,0.5015628887833251,-1.61507808216066,,,,,0.3120656752254905,,,,,468.0
VH97007015,,35975,1,5,SA,IYIGLWQQAMROOF-HHHXNRCGSA-N,SOL124084D7,AEOS01138798,20.0 ,uM ,3.581346029615202,-0.5093356191016354,-0.17327477111748424,-0.0472829695855339,0.12910500396408783,-0.09833338247749833,0.32957790851272745,0.3983253420766502,0.4506146134638492,-2.2097575565246306,,,,,-1.7876542646027387,,,,,530.0
VH97007015,,35975,1,8,SA,LAYAEBGGDTWXAZ-RUZDIDTESA-N,SOL1245EA73,AEOS01138798,20.0 ,uM ,-1.6292339219841616,-0.07445852677531627,-0.2284819312093673,-0.11028063783740973,-0.19835365880306127,0.12639829413043369,0.17599418909431921,0.2760904439087586,0.4288992556168346,-3.3327998853520118,,0.5723199073934515,,,-3.232371853446329,,0.05205156232962173,,,299.0
VH97007015,,35975,1,11,SA,OONFNUWBHFSNBT-HXUWFJFHSA-N,SOL12082F71,AEOS01138798,20.0 ,uM ,-8.538381218526405,-34.61841926670355,-0.22826878601431125,-0.1125125064741637,5.3291644773186935,115.36074488906891,0.12301670783621772,0.23850102064924567,0.44977710794639214,,,0.24993617675936458,,,,,-8.804480464880882,,,37.0
VH97007015,,35975,1,14,SA,XBJHBEQDHSREQB-QHCPKHFHSA-N,SOL1247F40D,AEOS01138798,20.0 ,uM ,-0.6274813701493663,0.8003907962893388,-0.22891718541069409,-0.11284466174920123,-1.5139183181323348,-1.6076805297919752,0.14010611319218008,0.2620730849910703,0.49476763579021465,-2.58212559130759,,0.6647376807880149,,,-0.013394167837300974,,0.7755816071067855,,,351.0
VH97007015,,35975,1,17,SA,GMGMDWSPSKXMJH-OAQYLSRUSA-N,SOL12083003,AEOS01138798,20.0 ,uM ,-0.36830178916006834,-0.0975772126549853,-0.21823073605483828,-0.08981983353074195,0.2037053202362062,1.2894397555762018,0.15081260697514295,0.27759497262729266,0.5268638405305622,2.571979407722784,,0.5717841019624291,,,-1.207795408469378,,0.12965869766830315,,,393.0
VH97007015,,35975,1,20,SA,GGPZCOONYBPZEW-UHFFFAOYSA-N,SOL12488050,AEOS01138798,20.0 ,uM ,0.3233237595567311,0.18317672860070705,-0.17253736356334018,-0.01896771814156863,-0.13059206176977567,0.23427675674183,0.178205011918173,0.3003614108713191,0.5540420250208185,-0.12699794815382937,,0.7800810284345712,,,0.5283448037844276,,-0.29794038473167106,,,465.0
VH97007015,,35975,1,23,SA,QPKKAIMODKGHRH-UHFFFAOYSA-N,SOL12514077,AEOS01138798,20.0 ,uM ,-11.574305251448056,-34.47266933798,-0.11953369525978272,0.05591663618797276,2.676281855183605,114.9127352230362,0.2211537286824145,0.3358509855946685,0.5802437891360935,,,-0.13282677255643843,,,,,-13.563763463659367,,,25.0
VH97007015,,35975,1,26,SA,KASDHRXLYQOAKZ-XDSKOBMDSA-N,SOL123C866B,AEOS01138798,20.0 ,uM ,-2.2687760503862893,0.7040729230620201,-0.08912286732299174,0.09396036281471028,-1.5391444944021004,-1.7544340377464327,0.2338726902949745,0.34896626507358636,0.5945442691564281,-0.06420451818792752,,0.10176376208567714,,,2.9104099138521717,,1.122724783489114,,,447.0
VH97007015,,35975,1,29,SA,STRAIBOPIVXLQO-UHFFFAOYSA-N,SOL121F2EBC,AEOS01138798,20.0 ,uM ,2.5049394300895322,-0.10783641141457757,-0.0391951518492534,0.14675830214974095,1.1469648335632987,0.68675499682766,0.2644324980973327,0.3609340951674419,0.6079410026392916,3.8691650749013693,,0.7568291478879976,,,-1.110887784576233,,-0.2566260372328161,,,706.0
VH97007015,,35975,1,32,SA,ULFUJLFTRWWLPO-UHFFFAOYSA-N,SOL124C945E,AEOS01138798,20.0 ,uM ,-6.4261200349073215,0.22057956827462902,-0.07741444344155267,0.06701808658988667,-0.6828784573779023,-0.13808555876746959,0.26665422236459485,0.35879890641089107,0.5241343969165769,-1.4502763396922562,,1.0800009782694948,,,-1.2434002478726942,,1.2072596863170426,,,337.0
VH97007015,,35975,1,35,SA,JRSGZNKDLJKFKK-XMMPIXPASA-N,SOL1239C0BB,AEOS01138798,20.0 ,uM ,-5.274969568847992,0.6674439042220599,-0.23666184067816987,-0.22491444397269514,-0.7011398561915172,-0.37410532570168026,0.214266517257655,0.3445860650197299,0.2993671259971399,-0.0935344572805384,,0.6339316712445657,,,-0.2567342255690305,,0.5192367036628552,,,395.0
VH97007015,,35975,1,38,SA,RQFYFNAGNBUGFC-UHFFFAOYSA-N,SOL1245ECB2,AEOS01138798,20.0 ,uM ,5.803354710872014,1.3282293245907264,-0.5010742950674799,-0.7094916263545664,-0.21354174062212958,-0.37598339285205945,0.13227363280156515,0.3150930369717492,-0.07115976066769691,0.34624227679247005,,0.6947130217853451,,,-1.106220982477999,,-0.0317886890985842,,,874.0
VH97007015,,35975,1,41,SA,CEUMAXLRGBKFQP-UHFFFAOYSA-N,SOL1247B1C7,AEOS01138798,20.0 ,uM ,-14.163471837512843,-33.03954980043798,-0.9974300350123506,-1.4760283150193156,6.31540323557557,116.44637211734157,0.011590727355521403,0.22416223277356856,-0.6862498287638279,,,-0.5769380274424228,,,,,-8.296597135325305,,,39.0
VH97007015,,35975,1,44,SA,JDEAFXJUIKOFAH-UHFFFAOYSA-N,SOL121310DD,AEOS01138798,20.0 ,uM ,-12.545344121113725,-22.99539654554055,5.056468869714894,29.849975783085657,-0.3371650247079441,-0.2808373188966117,2.4880982554574773,8.849777516548135,3.212797945492307,-8.262811003459452,-2.511909619115526,,-2.4035091756750346,-2.636558277004796,-2.22489843128437,0.9209326713140736,,-0.6261184525468317,0.3513889001928704,214.0
