inchi_key,compound_key,compound_moa_key,moa,comment,user521,creation_date,nvs_proprietary,member_key,cset_key,member_date,smiles,compound_target_key,gene_id,gene_symbol,gene_name,tax_id,tax_name,modality
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4816.0,Antioxidants,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3926.0,6328.0,SCN3A,sodium voltage-gated channel alpha subunit 3,9606.0,Homo sapiens,inhibitor/antagonist
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4815.0,Cyclooxygenase (COX) Inhibitors,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3926.0,6328.0,SCN3A,sodium voltage-gated channel alpha subunit 3,9606.0,Homo sapiens,inhibitor/antagonist
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4814.0,Sodium Channel  Blockers,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3926.0,6328.0,SCN3A,sodium voltage-gated channel alpha subunit 3,9606.0,Homo sapiens,inhibitor/antagonist
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4817.0,Lipid Peroxidation Inhibitors,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3927.0,6326.0,SCN2A,sodium voltage-gated channel alpha subunit 2,9606.0,Homo sapiens,inhibitor/antagonist
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4816.0,Antioxidants,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3927.0,6326.0,SCN2A,sodium voltage-gated channel alpha subunit 2,9606.0,Homo sapiens,inhibitor/antagonist
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4815.0,Cyclooxygenase (COX) Inhibitors,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3927.0,6326.0,SCN2A,sodium voltage-gated channel alpha subunit 2,9606.0,Homo sapiens,inhibitor/antagonist
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4814.0,Sodium Channel  Blockers,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3927.0,6326.0,SCN2A,sodium voltage-gated channel alpha subunit 2,9606.0,Homo sapiens,inhibitor/antagonist
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4817.0,Lipid Peroxidation Inhibitors,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3928.0,6323.0,SCN1A,sodium voltage-gated channel alpha subunit 1,9606.0,Homo sapiens,inhibitor/antagonist
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4816.0,Antioxidants,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3928.0,6323.0,SCN1A,sodium voltage-gated channel alpha subunit 1,9606.0,Homo sapiens,inhibitor/antagonist
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4815.0,Cyclooxygenase (COX) Inhibitors,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3928.0,6323.0,SCN1A,sodium voltage-gated channel alpha subunit 1,9606.0,Homo sapiens,inhibitor/antagonist
HAQOEWGSBVQDHB-UHFFFAOYSA-N,2018.0,4814.0,Sodium Channel  Blockers,,,2016-05-06 11:07:54.951687,,5482.0,1.0,2014-01-02 00:00:00.000000,CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O,3928.0,6323.0,SCN1A,sodium voltage-gated channel alpha subunit 1,9606.0,Homo sapiens,inhibitor/antagonist
QMDKVNSQXPVCRD-RQNOJGIXSA-N,2041.0,4839.0,PRMT6 inhibitor,,,2016-05-06 11:07:54.951687,,6745.0,1.0,2015-06-07 23:36:47.412268,CNCCN(C)Cc1c[nH]nc1-c1ccc(O[C@H]2C[C@H](OCCC3CCOCC3)C2)cc1,3972.0,55170.0,PRMT6,protein arginine methyltransferase 6,9606.0,Homo sapiens,inhibitor/antagonist
QMDKVNSQXPVCRD-RQNOJGIXSA-N,2041.0,6779.0,PRMT6 gene inhibitor,,,2016-05-06 11:07:54.951687,,6745.0,1.0,2015-06-07 23:36:47.412268,CNCCN(C)Cc1c[nH]nc1-c1ccc(O[C@H]2C[C@H](OCCC3CCOCC3)C2)cc1,3972.0,55170.0,PRMT6,protein arginine methyltransferase 6,9606.0,Homo sapiens,inhibitor/antagonist
