WellsConcentration,inchi_key,single-cell hit for GFP-GPI,non-tox? for GFP-GPI,GFP.PrPko.count_ratio for GFP-GPI,membrane PrP-/GFP+ hit for GFP-GPI,membrane PrP,membrane GFP,cyto PrP,cyto GFP,smiles,cas_number,moa,gene_symbols[1],chembl_ids[1],pubchem_ids[1],SSEC PubChem CIDs annotation SSEC_set,PubChem CID,NSN-number,venn_cat_1578008438,venn_x_coord_1578008438,venn_y_coord_1578008438
1,BHCJHYIMNHXLOM-WVDRJWPYSA-N,0,1,0.283532241121252,0,-0.345590369169813,1.72808400752481,-0.976122622937205,1.61364807327925,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,398507-81-8,Tachykinin NK1 Antagonists;Tachykinin NK2 Antagonists,TACR2,CHEMBL105060,9939040,MoA public,9939040,CC-20-FN31,,0.2,0.5
1,VGGGPCQERPFHOB-RDBSUJKOSA-N,0,1,-0.842341929088498,0,-0.287298476219586,-0.0514592457529588,1.86411343824755,-0.314672445972338,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,100992-60-7,Leukotriene A4 Hydrolase Inhibitors;Membrane Alanine Aminopeptidase (Aminopeptidase N) Inhibitors,ANPEP,CHEMBL29292,72172,,,,,0.2,0.5
1,HWXIGFIVGWUZAO-UHFFFAOYSA-N,0,1,-0.257114355436025,0,-0.148310541964953,0.481356757889253,0.0152328516972307,0.422515680640866,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,69975-86-6,Adenosine A1 Antagonists,ADORA1,CHEMBL1527608,50942,MoA public,50942,JE-80-NJ56,,0.2,0.5
1,KVDWOQGDMAEJLM-UHFFFAOYSA-N,0,1,2.25398881125694,0,-1.2522770562283,-1.2259879275628,-1.17021499167439,-1.27090793042599,Cc1c(-c2ccccc2F)[nH]c(N)c1C#N,186033-14-7,"Large Conductance K(Ca) 1.1 (BK, maxi K+) Channel Activators",KCNMA1,CHEMBL42661,10176749,,,,,0.2,0.5
1,DVJAAHPCJYIXDE-VOQZNFBZSA-N,0,1,-0.114814668371398,0,0.592101834365937,-0.260047352340215,0.141553141169847,-0.528987193064223,CC(C)C[C@H](NC(=O)c1ccc2c(c1)nc(Cc1ccco1)n2[C@@H]1CCCC[C@H]1C)C(=O)O,1586790-45-5,Apelin receptor agonist,APLNR,,,MoA public,90079745,GD-70-NJ06,,0.2,0.5
1,DREVJBVJBRSSDL-UHFFFAOYSA-N,0,1,-0.232614378867768,0,0.563790139954915,-1.34461597430607,0.518465868733317,-1.25905171648865,CC(C)NCC(O)COc1nccs1,38241-39-3,"""Drugs Acting on Adrenoceptors;adrenoceptor beta 1 partial agonist"";Drugs Acting on Adrenoceptors;adrenoceptor beta 1 partial agonist",ADRB1,CHEMBL2107607,71720,MoA public,71720,CD-90-SN76,,0.2,0.5
1,NQQBNZBOOHHVQP-UHFFFAOYSA-N,0,1,-0.503426480478861,0,1.33589125338586,-0.686294031326315,0.835005375715111,-0.682265668053176,Nc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,40045-50-9,SAPK1c (JNK1) Inhibitors,MAPK8,CHEMBL510038,11837140,MoA public,11837140,KA-61-YT47,,0.2,0.5
1,HMGQCYBBVBPNIE-DLRXVWRPSA-N,0,1,-1.09416424811088,0,1.68769808695604,0.576280681009197,1.56994501008559,0.32197857617098,,,,,,,,,,,0.2,0.5
1,KUFRCLRVAYJMCG-UHFFFAOYSA-N,0,1,1.13392826096203,0,-0.168359453913121,0.1226439120879,-1.16304242748219,-0.0356556027411598,O=C(c1ccc(CN(Cc2ccc(F)cc2)S(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc1)N(Cc1ccc(F)cc1)Cc1cc(Cl)cc(Cl)c1,1201661-44-0,Apoptosis Inducers;Bcl-2 Inhibitors;Mcl-1 Inhibitors,BCL2,CHEMBL2031010,58531411,,,,,0.2,0.5
1,XVWPFYDMUFBHBF-CLOONOSVSA-N,0,1,2.06579038721909,0,-0.611183764385088,0.293117173841056,-1.11621972807489,-0.00436412756352361,COC(=O)[C@H](CC(C)C)NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1cccc2ccccc12,1217457-86-7,Farnesyl Transferase Inhibitors;Geranylgeranyl Transferase Type I (GGTase-I) Inhibitors,FNTA,CHEMBL282748,9811605,MoA public,9811606,ID-32-NA94,,0.2,0.5
