time_hours,ntc,ntc,ntc,ntc,sirna,sirna,sirna,sirna
24,1.208,0.887,0.947,0.99,0.555,0.593,0.585,0.63
72,0.998,1.093,1.023,0.902,0.487,0.468,0.577,0.556
